1,0,1,10,12,09:00
2,0,2,10,13,14:00
3,1,1,10,12,12:30
4,1,3,11,12,17:00
5,2,2,10,13,09:30
6,2,3,11,12,13:00
7,3,4,10,14,10:00
8,3,5,11,13,16:00
9,4,4,10,14,14:00
10,4,6,12,12,20:00
11,5,5,11,13,11:00
12,5,7,11,14,16:30
13,6,6,12,12,08:30
14,6,1,10,12,16:00
15,7,7,11,14,10:00
16,7,2,10,13,17:00
17,8,3,11,12,09:30
18,8,4,10,14,18:00
19,9,1,10,12,19:30
20,9,5,11,13,20:00
21,10,6,12,12,13:00
22,10,2,10,13,20:30
23,11,7,11,14,14:00
24,11,3,11,12,20:30
25,12,4,10,14,21:00
26,12,1,10,12,22:40
27,13,5,11,13,08:00
28,13,2,10,13,12:00
29,14,6,12,12,16:00
30,14,7,11,14,20:00
31,15,1,10,12,12:00
32,15,3,11,12,10:00
33,16,3,5,6,22:30
